validator,va_status
0xb6f46eace60037a5c840f55a820a2a6fd6b55f9c83a9bde7e0ac72fd59f0d4cdc194782a2cb2647d0259ed357e04fe7f,Not active. Please check for a new committee set up
0x97b11e60274101e76a72419cda9dbbea9f5238b89a76a111e4a060b6ce8c531db8d3b67b55686b1904aed7510b687565,Not active. Please check for a new committee set up
0xb67381308a174a501ba2dfe8fad7bb259a66a7d404c8aa5c37a570aab182584011f499b0b6713728d4aee7bb0538b425,Active
0xaab78b4115416b2970eb67b1bde36a976231af82afa2229c2814bcb97f05cd35d5fc41438fc2062135543e9da9414ad4,Active
0xa67c2ea7e7793ec587462f3fedb3e162e74cbfe797e8ae8531d07bb2d80746ead17b4a9a9d245e03ef878bd03b245935,Active
0xa7d76c4333e5b637fbe96659ab7bcb7a8ff5cad3dfe86b7b418c06fe960ef25094778a69d355e7aa431269082d3e8a15,Active
0xad1117e748bfdd58599bdc87dc3bac8e5257ba79d5221249a96f8bba66c099f79a1f44d160e25bbe7df620b73b453f56,Active
0xb6cfaf5b58668b0bc61d16291a1e4f997f731758edb9177a9d0f02654ef71f78161877a4b9d44dabb3af4cddf586145c,Active
0x90cd48450be135c27b200be1c0470b82e96323008cb87171af836697bfa294256772fd1640ab1e567bd218489feafc83,Active
0x89f4ed6a3ccfd6fc0e1b6a9bc983112ae47129449fc4c7a8d70c456f83c28e9c3230b3ba26c5b4a91c8729992b1b9c4c,Not active. Please check for a new committee set up
0xb332697db2ac3b0a3b97895cafec70ebce9bfa1f5bf814dad6928b0711e08f0b8770a4c722ad55b57d5b3d6aeebf8f68,Not active. VA is slashed
0x884dfa38cd1f8e668c00c8ea19b38f9b05605fdb494141bd5d93d1463c2b2ac501dd3c6af2df3e3ecf44a2302afeab20,Active
0xb4938cf1533f4dcf2f5ebb261c0e10304879413a01babdaeb276b88fe3d373ee9f29d7ac6aa1490011158cc99964a0d8,Not active. Please check for a new committee set up
0x8e4ef415f80902e86f29d8b7887a7769a8c99e9075c771e8daed3804f08438bc4965685c3ebd0888f68c5262ddb9cdb5,Not active. Please check for a new committee set up
0xa27dbf3013f7b8539bfb7aafc867fd65b78e105e9657a992d677f0ece4d8a049ac6d6643152bf7447d93c7b9bde87a2d,Active
0xb1071f3263e59fe4b71f5e4b595372eb55c569761f3c7fc7ff52dd14a1f350ce70cb7d98f8ff401d7668d9b953636f99,Active
0x8fb63411014aded3f64ad3472619680d3c5596d244fd4c427883cfb8bc61abc5eab054f430b2fd42e8c4a5abb105907a,Active
0xabeecffb0baea8955cc207e24b82a57adf58de92c442b99bc078fa5cdf4cf23e476119b9b35456e29840775ef1006d11,Active
0xb0dfb5f1e4756bbba6fb522df805c20dd27d0352203182f405ec5a98324f063f5c0ac696bbcdd1270e17ebc5e7178653,Not active. VA is slashed
0xb31f1457f9d1becdcdd683e87aa27412b134fa0ee68b7229dcfdf8bdbba5e6108e690ab284226e07df03b6aceebb298d,Active
0x99feb4212b00bde9e38c4537aa46d5c69e0c22a96c5faa5f736f99c2fadea867a17e66d5cb6ff60411d3e778ec27ec9b,Not active. Please check for a new committee set up
0x92e50be9888afbfd93ddfd8403c62f24ddebe92af893c7d333ea7f5d4fa0a5f4c80796bf8127e210ffe1d46d7da7b7bc,Not active. Please check for a new committee set up
0xac798522a52e9b17ae3f18f919636d742c8c26f8a99f32d29011c7728234926aa94d4dc33c4cf269514ec9cd3eed1478,Active
0xac63f9859d007a2955c8976c452efeb8526e9ac1eb674c2a84203c35df20ef5c037e3ccd776cfffdf38c94fff3c976c8,Not active. Please check for a new committee set up
0x9425b57b6cda759d5957c0942734b2e88f041af8e2a2bfe301478ab72d0fa9115d939683b857844e9b916a2dac36fd74,Not active. Please check for a new committee set up
