validator,va_status
0xb9a19558823b8aa0faf6b48adaa150d6146bca9a3b54682b3fbba075905dd8620888e21b4567499b2375cb115ad2ddf4,Not active. Please check for a new committee set up
0xa6c9db55b40d058c68ac95c314d09dea4c1fc1311fe7135403f836960f4220bdc5fdd605e6aeeb3cac744f7315608e9c,Not active. Please check for a new committee set up
0x9986f1b73bb4adcb1d4f959a105d40bbe6535b837c9fa8587b6254213c9f71746367a9175e9fb3e2c73e89ba9a08fcd2,Active
0x821301078c491378aa74a6c5a68ea757d32006326a03338fbad0bc1fad64181bbeef8c15d6ed9103bc85f18f07697d12,Active
0x81d7e86a785301c89dfab3d8b7ee3726faa59d9ce59ba91591c41665c44ec990e5f7ec091a5f0c5c204ecec043997898,Active
0x89f4ed6a3ccfd6fc0e1b6a9bc983112ae47129449fc4c7a8d70c456f83c28e9c3230b3ba26c5b4a91c8729992b1b9c4c,Active
0xa6dccaa90430798639bebb083cf5342bc068483856126876adfbfa412ef60ce7776d3c4e416ed41d9f1cf6fdb95faaa1,Active
0xb68459b04cbcee219f7e165ffc6b6cfc33638686a67895795481a1f41145be4a2f362593d99efa277f6e5af1f567fc80,Active
0xb233d2c2b15f228e92a7fa93c19894387fa944aa53d3fefec4ccff832a53aed1877824d09cced8a79e33f586406f2c79,Active
0xaa480c84272b901982a386876e7c68944618780b0446ca4d4ea43adbf698f2a26c30b2c6be743721e8bc743cb0a035ef,Active
0x8aa1554f776073539ee839eef52240a7a47b775637089df316f2c65081f3504c15b36f72036b602824c3715dfa8ff25a,Active
0x9524b848815d3b57865f2f177a5718814592eda3a76b90edff42d04fef276f6547a8772df5f6dd06f3a1a69617ae650a,Active
0x93c99981a060199e6b04268e57fabecc605fab73c9b6b80765762f0e71712e100ad686955b00f970a24162dda9bc10ff,Active
0x91f92142ac650bcb9ea58d821c55682d8cf84c5b853e2aec8badbc58de51747c0648e69e502c62ee3b37c77f0e3f74d2,Active
0x96e8e26d3bbbc884ba75672696e0df1ec106675d8385b78f2d7702442e253f9c74dbe4082d4d212de3a64e78ff6cd260,Active
0x88a3d51f252f0d0307d4699b851d8d9db2c0edbe468c0c62fa890e402cefadedfaec479fb26fac958cb6e839e48e8025,Active
0xa7940d0bc69efb968d8f90904e9a9f1544d1b3c3a220fd5880c5ac110b1cee6fd112014b54d7ae70edf52da1cbf4030e,Active
0xa3afc5f3f9bdac195062e321a3369a7c15961d522aca0e7dfdf5f1df5316692f15f7d06589cf7967606dbace80805e8d,Active
0x8ba210fcf8e096946a0d4be70f487ae870592544c19c2fa15a9580fe6c6e192488a5eed1df94871a189e586c0d7fc2fa,Active
0xa76b7062aac52963a419a230c89d8da1a06e2f4c5c34089ae1f4c49ee37313c9dfe6a6c0ee4f8cccc1a4b72010eba61a,Active
0xb0b7b71c89bbfb652f3a78303da96c74daadf643bcd4e3d295ce3c5a7839448b4e3d444b391778fcbc94547459b0c3e8,Active
0xb9ee33f23a4863b9acc8aa2f0c260ce87db0484e039a7d9060b8929ce8f85bdd731ed5061ff0e212b116481307b85b5d,Active
0xa578e55486876fb6511e3f5d2d90a5f85154f35225d5c99336b0e5c244857934b8cc0f927f0d802676ffbf022bcb7273,Active
0x8f05c7dae087de168ab657274609697abf188c7c717b03794e2c28c6bc0e5cca4c853bb3fac7decababb02d4f852bb83,Active
0xa536247a27b18241e34a02cabe4640bcdce68e3fff74070a8ffe33db789b8b9a4e32ef76204e220eed49c130a0baf738,Active
0x92e127ed1851d43c09d858ddbe4d294e4aee467e2b2072fa9deb015b7bbed4b45451b8b824e9bb696900179191139352,Active
0x96834eb0e3407911dfa46912865dde130967ee072b2a382785862d2a273146106d6096351073da94b9504738abedcbc6,Active
0xb6013f86c713f7835e34479582f981b794eb204cd2739086be286903ab194b68373ef4059f6cb4bfd33c8e7ebe3ffda1,Active
0xa41b3a51a162c46424d6cc18f168d3dcc7d2d76881e9462982579e4c8d5ca9398c525cb6a1ce45c09753b986d1f72ae8,Active
0x8434ed7961dbb14c6bf8ff834d98fbc44aec94ad629a0fa278ff8f3b538e1b736bad293e05c360cdac28a4dc13b81c5f,Active
0x82b02d2552a183ae471aedc7ebf342b950e91a5e1345d95199394f03353139b954393e0e13dada9b60497dd1122bb1f7,Not active. Please check for a new committee set up
0x8736d052af7e9b826386cdab34e77827b5c01ac58804e219541b1183258842fcc2d8859c2af04abb8759f0a6c410d3ae,Not active. Please check for a new committee set up
0xabb1ef73e40bb7803f9bf3317dae3451e9c178b63d4e6e8b301a3f716a13e4fe016a5fac25a86ea689e9f18bb55a3b5a,Active
0x958c66857929cecb6c7cd2bb0567e491ab3bcf07448c7c0d162871a52faec8fa5dd9398cf60522bcd35bf5d69ed8b0cf,Active
0xa5cf8616ff3a015ec0d302e503839c491d3d5b573a8a3fc946c184c9961cf305b1913cb33208f31b1ae2e7952f97e7ba,Active
0xb93694337b44b137670648e37540315328f43db34c4dd86eb1fc374e0e16c42f5b34e52fd37f6b91f37d697f93ff5890,Active
0x8c3e7ec69c323266ef2c0f01407df36b311ab6c64ceec2d69dc9e1e2f8282cac909cbb73bb5595f726fe665049866f7a,Active
0xb150b44c8bcc8e4b9c0956f1975dcd1c0f2fb495dfc4dbf18ab04353a3b42102344f97d9e938113256927581bceea2a0,Active
0x87565b235bc2585294ecbf9f0107b785dbd9e1892bc2411e811b746c13601bbc76c88d5717798748f480394241fffa36,Active
0x8cf1e766e9cd549d1e6b41a443ac1cacd248f817334636c5def71c5ea9c6940cf661d2df8706d98cd03c3ce3797e3c48,Active
0xa98e1f442269fd8c19d7f1cc1a98ea2eeec2277f006ba7111c8adf4a6445a7d99a612518a31dfcba29f677f910b90b3c,Active
0xb21cf7d9b06e87fedcce6e60fa4513aa29815f86c0a831f1b6d96a025e382fff8fdf848dcc007b7008ffc4c7bd6edf51,Active
0x916446ffbf762a792f7c088f59b416a3213e35f41b3b16d720903c5106a1635ef503447da8f4c798c9a8aecab47ce153,Active
0xb590ef5398503d0804b9f30bd004df7dfa3a7597bb697e9373a3e30e413500c858e652a80ad01a23dd24c2d509b1a3df,Not active. Please check for a new committee set up
0x9818ff7716da99934cc98878418cc6ae871870efa20d63be38dc2b7ecbe7365178f3ff1b42feab02a282d9f43aae7cd5,Active
0x92491482b802aa2b0847c793cd67e3271a7195693df4d70449902dfb3759afbc44b593e02c81c16ba1e55fda0f183f9b,Active
0xb20c2fb1aa1e25c8a1badf417faf33a740053d1d73b8d7ca39d12086ad80a7f7a7a7b86ccca58e65bcabd499c86a78c4,Active
0x93db8ec0289ff8d911eb25328e9d6573f588672c9fff3cb06fd9db5a755a3fe964186ba60ffde0d9dd3318ce4a68ec84,Active
0x96f0842a44efb6b7ba7e41d7c6c875238dc9bdee334aa367fed1939a6059578a9172131721f2d0e34b4053c3f01d8f13,Active
0xa0e65d1e187e795e4ee53ec5d4ca4d4306a4e32bdaa8fc24921943069407b44202e181da6becbc88b9e1c7e138790698,Active
0xb0ceb123272d68cf1a9bc65018ac5116c4c85119343fb853b112541225d93bc74abe0531f441afa4f78c7714874cf997,Active
0x905a2dbe55e643086ced89730b18939df809ed2ab542c983835ec339da70b6f6744360c2bcd3a28142ccdfb5e826b842,Active
0xab98aab1540d57d3349c17a2e549173e5eb4b6b94e82a78064324e6ef7441d42f536ae8398b4c7d92b609f76eb108e9e,Active
0x9466151e39f6993e65b8f157f1bf033b149dd3a24bcafb7b53d3683bf141717b3766c8c06cc3219bffcc8090e4fa16da,Active
0xb138f8704c69c20ebe331032b4ea93747dc8b12b4447acc45dbb5b5dd10b1ae4e2d7561abcfa6b1271ad37322708e13e,Active
0xb375e6b7f45015e86bcc6681803c018de56325c309932806af7141be68dc388bf49208bf9aee2a0be8e94d9e22bffc1a,Active
0x8594c3f661f02a8291c6ba8826149bc8da12ac89bfb14d9a921ffa578c619d8a58c086ff4ebb269203bd3a108159b5c7,Active
0xa69817b94caa0b836b647710470ea4d231f86653b0faa5c667eb85330664f7481eea12c2818447d744f774792a2a65bd,Active
0xb0b1c7a608b4a90ab16b63652bb746428a78ea168c5e0a7162e3eb2e2b861435a8940508c00e3040a10e1f8cb3530942,Active
0xb233723c5dece8e956ec2b983946e07917dad3a9e16670291063c309d45e7b4abb6f2e8071fc9ece332fbaecf2eaf530,Active
0x996f76fcb18a426f9fee7f020962536c9e426d319dc651fe50bba5f5296d7092d96537db3e0375b41e7f32f0b91ff2a3,Active
0xacad60a4ae447eca52bf3654fd18f67ed8971290aa5a060ed3d242fdc2e1b7737d231ac0e188afdc4ee86c5ecf84313c,Active
0xa0934100d13341d28afa7483469e2fae3a31a09aadf29ac7adb408a6ab65104880e4875efb921193015a33f6f7c61f13,Active
0xabd81299c051335733b444055cecbb670387aebc616c2f7e15654322afaa413e7bf431d176efc128b7ec99c523868366,Active
0xb54f81b03d1c97b715676e0ba8d7a7b3aa0ac7e6422f93a7ddabac1d2382556620374057f81f9d7730489c57cccd3659,Active
