operator,operator_status
alsaba,Not Active. Your OP have 0 Validators. You need to have at least 1 active Validator.
rendydev,Not Active. Your OP have 0 Validators. You need to have at least 1 active Validator.
Axl,Not Active. Your OP have 0 Validators. You need to have at least 1 active Validator.
CsQrl,Not Active. Your OP have 0 Validators. You need to have at least 1 active Validator.
doxe,Not Active. Your OP have 0 Validators. You need to have at least 1 active Validator.
arya,Not Active. Your OP have 0 Validators. You need to have at least 1 active Validator.
Dwentzart,Not Active. Your OP have 0 Validators. You need to have at least 1 active Validator.
ksalabsafestake,Not Active. Your OP have 0 Validators. You need to have at least 1 active Validator.
ou812,Not Active. Your OP have 0 Validators. You need to have at least 1 active Validator.
QualiP,Not Active. Your OP have 0 Validators. You need to have at least 1 active Validator.
