validator,va_status
0x8688e08d818a941278f9671f4d93e017242db5aac8c4865a8cc0a17b3494af36addf386cfd0ae6dd4b7a3f5e944d220c,Active
0xb6f46eace60037a5c840f55a820a2a6fd6b55f9c83a9bde7e0ac72fd59f0d4cdc194782a2cb2647d0259ed357e04fe7f,Not active. Please check for a new committee set up
0xa52fd6cdcdefcbfc6577323c8d4ca441bba7b8777ceab242e13f775cc48a56985415ba33a082f3f5658b5a0796465f18,Not active. Please check for a new committee set up
0x97b11e60274101e76a72419cda9dbbea9f5238b89a76a111e4a060b6ce8c531db8d3b67b55686b1904aed7510b687565,Not active. Please check for a new committee set up
0xa1210b2f7eea4f764d50f1888c312eb3a20822f8e792d4d998b7110e212a5409b3f5cfdcc9406f97f6148b627df45135,Active
0xa297b7eb031c53e82ff2210c3db1f05477315adda76f2c2481e6c1d400c1d6a496289110276c61fbe12895a2a90921ab,Active
0x866d9d848d2e4aed96a9f69f229472b6f6d89d98e663a7fae3156dcb9f2cf92428c0c38b5dde6299539247626c8359b7,Active
0xa395a2d4e867a745f63ac9860841a7e36abeae0962411a97b9fd131ed25a2e247d659df488e919b83c7809a3e7f6fa84,Active
0x89f4ed6a3ccfd6fc0e1b6a9bc983112ae47129449fc4c7a8d70c456f83c28e9c3230b3ba26c5b4a91c8729992b1b9c4c,Not active. Please check for a new committee set up
0xb332697db2ac3b0a3b97895cafec70ebce9bfa1f5bf814dad6928b0711e08f0b8770a4c722ad55b57d5b3d6aeebf8f68,Not active. VA is slashed
0xaad3cc4d6626fbba7137cb2ed800bccd17371ed2aff28ece1d346986489648068ef7767aba00f3e32ebc0c7c02b4990a,Not active. Please check for a new committee set up
0x884dfa38cd1f8e668c00c8ea19b38f9b05605fdb494141bd5d93d1463c2b2ac501dd3c6af2df3e3ecf44a2302afeab20,Active
0xb4938cf1533f4dcf2f5ebb261c0e10304879413a01babdaeb276b88fe3d373ee9f29d7ac6aa1490011158cc99964a0d8,Not active. Please check for a new committee set up
0x8e4ef415f80902e86f29d8b7887a7769a8c99e9075c771e8daed3804f08438bc4965685c3ebd0888f68c5262ddb9cdb5,Not active. Please check for a new committee set up
0xa27dbf3013f7b8539bfb7aafc867fd65b78e105e9657a992d677f0ece4d8a049ac6d6643152bf7447d93c7b9bde87a2d,Active
0xb1071f3263e59fe4b71f5e4b595372eb55c569761f3c7fc7ff52dd14a1f350ce70cb7d98f8ff401d7668d9b953636f99,Active
0x914e507cd54c1a242786997dc279d2e6392d7f88266474cadaf09e681542990fb77ac3280b3b2b66eb448f9928c51a3c,Active
0x8fb63411014aded3f64ad3472619680d3c5596d244fd4c427883cfb8bc61abc5eab054f430b2fd42e8c4a5abb105907a,Active
0xabeecffb0baea8955cc207e24b82a57adf58de92c442b99bc078fa5cdf4cf23e476119b9b35456e29840775ef1006d11,Active
0xb0dfb5f1e4756bbba6fb522df805c20dd27d0352203182f405ec5a98324f063f5c0ac696bbcdd1270e17ebc5e7178653,Not active. VA is slashed
0xb31f1457f9d1becdcdd683e87aa27412b134fa0ee68b7229dcfdf8bdbba5e6108e690ab284226e07df03b6aceebb298d,Active
0x99feb4212b00bde9e38c4537aa46d5c69e0c22a96c5faa5f736f99c2fadea867a17e66d5cb6ff60411d3e778ec27ec9b,Not active. Please check for a new committee set up
0x96b19021270e4e21aed06c6dda4d579df33065c6fdf4d1092677841919437b211c1aa458c965b5da16a12762e76a5edd,Not active. Please check for a new committee set up
0xa98562678fedad44e88d31601c205fdc7ffd7cc8e9eba44eb00c2035d1078a301b4c52afb27e0eb5138d62468b923358,Active
0x90361ee0aaf76525a969d058515faa2531acbf468799af8614f7906a2f2c1c33eabb96a02ab35b12fcd483ec5f74b286,Not active. Please check for a new committee set up
0xa818dab77a9fee8d4b52f613c432f59b6ccf201acbedc7bee1ea4f2d938e0ca95b1fc453492739858f77e06d02c18a47,Not active. Please check for a new committee set up
0x81d7e86a785301c89dfab3d8b7ee3726faa59d9ce59ba91591c41665c44ec990e5f7ec091a5f0c5c204ecec043997898,Not active. Please check for a new committee set up
0xb5e172c2d0eac645da9266a42cadcfda25845effccd01c084f5047ed208d89ff1229bbb54ae43bd74dbdbacc756fead7,Active
