validator,va_status
0xa27dbf3013f7b8539bfb7aafc867fd65b78e105e9657a992d677f0ece4d8a049ac6d6643152bf7447d93c7b9bde87a2d,Active
0xb1071f3263e59fe4b71f5e4b595372eb55c569761f3c7fc7ff52dd14a1f350ce70cb7d98f8ff401d7668d9b953636f99,Active
0x8fb63411014aded3f64ad3472619680d3c5596d244fd4c427883cfb8bc61abc5eab054f430b2fd42e8c4a5abb105907a,Active
0xabeecffb0baea8955cc207e24b82a57adf58de92c442b99bc078fa5cdf4cf23e476119b9b35456e29840775ef1006d11,Active
0x99feb4212b00bde9e38c4537aa46d5c69e0c22a96c5faa5f736f99c2fadea867a17e66d5cb6ff60411d3e778ec27ec9b,Not active. Please check for a new committee set up
0x97b11e60274101e76a72419cda9dbbea9f5238b89a76a111e4a060b6ce8c531db8d3b67b55686b1904aed7510b687565,Active
0x8b4be219574e48fc8d5844fafa9acbb9de607a5114016d9c6d868b4a9331eb9571904e91ebc8e29b84f7a7cec3e083fa,Active
0x878528e9fb74f90184e8a773f76418421acb93d262bfbcdb180f508ceccd883404bded98320d9c337cfc5eb28f6f339d,Active
0x872a99a00d28f1ef94f5eea313ff540a328996e2bbfa78b98a0f4b115f9e91e76ba052cb10a3db1f2a760b17c3491717,Active
0xb2f6e46517219c809500e476a7c90d207677a3ceba1283ee7435f8f56f2c44dbfeadd6a133227d5d0d0f4ac20bbc8387,Active
0xb07e35c93d38ef71c233be8279e2ee54e3e4bf487c1616dc2522d92dab45c3b29280e96fe63d82f76059ff86d61a5cc7,Active
0x914e507cd54c1a242786997dc279d2e6392d7f88266474cadaf09e681542990fb77ac3280b3b2b66eb448f9928c51a3c,Active
0x8842f796ceab7b3d615c9868461ab30ab6c165c15cff7e7c16b2d28a2f8bd4addca73611abe80cc06fd11eb80712b136,Active
0xb90637497428e89e8bb6552d67dcf9bb0ecf16ae355860cc86d8c0bf4255b2f71c244d4926a52d02a31e4464ae412102,Active
0x934c34b7e5865a0cf3534d9523ccb03488f4b1ad2f4c49919449f7f8e839861786a1779afaccbe995f0800208c9270a4,Active
0xb90dbc572233c1dc979230f1bd51a58a539ecc6e1218da2b4e99430c9f264e4e3705dc6dfb280f99ee4189e897f45c92,Active
0x8ed04a898eaf781a2c0dd7bd3db703ce5020a4e9d8b99b366921f1b7fe2ff4597950bf6de29de3e752439927b0fb2a81,Active
0x994dc1f20cea4e335e964e7eafd24a6d3cceeee2ba257608afd6271ac957c7c5b686c99b38d945cc581c3e9b03dd8607,Active
0xa8911fb29db5887c7c9d431c949523cbb6ec9e42220f20bdacf3db4fde6e7a352910d4fa807f9f6f216042e9348a5246,Active
0x899a15452535d872599b815f631f10772f533859b0405220902f0426b6ec0c57c7dc02ebd4f1b418fe0a107ad99216bc,Active
0xa515df7203652d5d019c2212c64fc0bfa47baad5af81c9ed4463b4a079accac0bcf8181c75ea4ee8bb3af5ab489c42aa,Active
0x90c961b72483e177817abd2a4b5ce5399f5d231e95cb94d2f53d0620cfe443f467fa8af7131f0ba91533a02f353849da,Active
0x80873924ea834b7b609d9f9896667fccf691f678c7097034e25b6badabbeaa85332d07135c367f46b43137c6934e13e7,Active
0x970722dc59d9fa7b4abe6309085ad108716757aa35719b0b5971dc4733379ba0cf7f3ecc683f960e671f5c2538f7e093,Active
0xb523b9399c29ebede3fd9391cef82889da1b43afec090911521c91173421b049cfcf97ccc1768f2d5d97d2687f9df4f2,Active
0x8c3548aa879d974c5542e59ea43bb34db91f92c7d21eca5e3e4fb9d01364c21e8e2341eeaba1d22da67f1f455644afe6,Active
0xb0b1c7a608b4a90ab16b63652bb746428a78ea168c5e0a7162e3eb2e2b861435a8940508c00e3040a10e1f8cb3530942,Active
0xb233723c5dece8e956ec2b983946e07917dad3a9e16670291063c309d45e7b4abb6f2e8071fc9ece332fbaecf2eaf530,Active
0x996f76fcb18a426f9fee7f020962536c9e426d319dc651fe50bba5f5296d7092d96537db3e0375b41e7f32f0b91ff2a3,Active
0xacad60a4ae447eca52bf3654fd18f67ed8971290aa5a060ed3d242fdc2e1b7737d231ac0e188afdc4ee86c5ecf84313c,Active
0x8ebd576717705e5be61fcb980129b5f99b9a49bcb77c90ab6d8e44638a4abb7f5ccc7b6325f497a46322ef26c63ef761,Active
0xa181507397f21381376d8d34ce910e5fdf6e4f5eb02e0c0975644d5d6f8d9e135de2cb6094199c62be20be2cd59bad5b,Active
0xb7b0bda50082b91ae4a10b00460ef43fc8557cde4de13ab06531d54a7d39d1eb94015225ac0af2403608af8f7cab24e3,Active
0xa0934100d13341d28afa7483469e2fae3a31a09aadf29ac7adb408a6ab65104880e4875efb921193015a33f6f7c61f13,Active
0xabd81299c051335733b444055cecbb670387aebc616c2f7e15654322afaa413e7bf431d176efc128b7ec99c523868366,Active
0xa7da4e0d54774033907257207e01c1406559362bc2a3d177d18aa358c7a844bafdab149736478abe1cd0876c3b625acc,Active
0xb54f81b03d1c97b715676e0ba8d7a7b3aa0ac7e6422f93a7ddabac1d2382556620374057f81f9d7730489c57cccd3659,Active
0x8f7b3433955a43280241237785d6b88b9f2c7edd049cd60dd156e6cee018c264fc3f50825711af3374cdfa45e42037be,Not active. VA is slashed
0x994505589e524592064cd8bbad8360586609288c3f327e2dcb18d427fe9c3dc06302c434de388754c0138ec67b4cd044,Not active. VA is slashed
0x9675e84562aa6bb1d14135d9503b2f3d2f8a66f00f37eb8ee57e3290d75142b6b750ba36e7ecf791e0bd9978832f3190,Active
0xacd9683cfd0e87f4f776aa482335d4d1ec2178168c525bab63204489a996d6d68761094e29f8cf9f5b7b345974e7732f,Active
0xa172c58926784313d85571900c745f44539581491eadd07a5f37f64dcac98dd0b01cba17858c535a5fd4238375c062b1,Not active. VA is slashed
0x9983d49be6266d40de8fb35fb54b70c8ae9ee2a1a53ac09e67f142e37460bde7d0be931cb0d0d523f6cf6aad2b5122c1,Active
0x8d1a2a43cc2d14f6897a77e9010c3b9972adc0985552c1164ae81684b42afd90623ef99475775016d91cb5efb582b539,Active
0xaa1062866a8a1ed5b776b7a34ed5419792853baf96c4fb078845927ba703e718a345f88951130994591b27fa30be465d,Active
0x8d79a0771c69c6559fb691c6f10937bc3f8346c0289d0ab002ef651809aa2fbe3f9bcefa0534d78774492b0dd968b741,Active
0xb076e5637306255085a108e889d6eb1ae62c83594ba0ce3162f889a00d5f5367a3185dff24a8b50fd6046ad32d3fc8dd,Active
0xb6dfa9c1d2ca119d048b2fd6404ff1eae81bfbd63643b291f7cbe5747dc930409eaf1f4a718048b19a7a2fa57d19f85b,Active
0x93a684cafa77ce2b25fca9a2c660fd336c9648aa5ef46f6a4065f077ccdd68fab05053e6ba2e3f91f0f565504d0882e0,Active
0xa1499836e74d3345e8161dd1617bfa43deb0db664b796a12be85d79688311f7ecdca80130da36a565cacb36963a7ca60,Active
0xad30e5340c95ec8b6b1b465fd0079f385e6c3cac7360dac9441e10bdfa1e31fa8c2d4198a198469bdb6806e3768f6d9d,Not active. VA is slashed
0xb5f619176ca8fecbaebcf0cd5afd5a45a743cbc237094c8d797891c065065b5662412fc7a1bc767e337c147699db606c,Not active. VA is slashed
0x902dfc379e322c33f79ca27c68bb7c921a86b0c832d6be914693c3a487454d12cc357f3457d95b4f92d53bdc78bb67c4,Not active. VA is slashed
0xa27f7321f9ab0a42a7efa6a37864b7765cefd32329a6462f1d9135b5e68d7a3b7f23347ccaea124037ff45d5f8f3c613,Active
0x86f9810bb2ba3386ace3f77d7cccef25d30885cd77c82d6ff5329cf7244fcc61e7f37521343ea771221526a2c0955670,Active
0x83bdebc0a603b46da6a43d88a6cff8092314ae67f38226adb581bf432b7034c162f27f5260078666d2dc0c8b08280c58,Not active. VA is slashed
0xaa1c0e73f8cb1def5626397bcc49bbb375469951cd7c953f788d3f670b17b72cb12ea5d2ffd053d8cfa3c7af07c529b8,Active
0xae901038c82c314beeca388fcc694b2a9cabfc5687846cc50af37ec394f1dfb7f791fd9321c05c9f177e9a8db3a4369c,Active
0x8d50477d7ad5d3e816bc474cb4bac3f8cb9a4f986d9dc079897e38df77033e69f6586a332115d55307d5826e4efdc047,Active
0x89c9815d2df49733e289c7faf49355a7337540dd50fcf58e4b7304d5040ce4636685ad9265d6f6bd7a27da823478e6e4,Active
0x97195ea368c9aa17dce8c4c727ddf61acf855f7404707281589ed7068d89fff6d26158d7b89aa526ad70afdd7f2371d2,Active
0x8bb1f43397f93eb443dc141fdd0412b1bac8913739f110bccbc6469c625f2032ba19c75b5514808430c841db65790497,Active
0x912b814ac2054e144b6c97705d8bc4f38a92804832fbe1ff3aaef275810633ad6e2e6ff41cc8767c786dff8fd8d9ae1c,Active
0xa862a76a5b720e6ef9cfcc1c4dfafadc32640e72db33a59042b0511bac30eec129e77fdba872e166adef04c727e762c7,Active
0x8c24a16b652dd1e07634d34a1965b20d51b48a200f50547a7e82a71de41360cc79291a6e9ecd932e9b95b9a721e9df20,Active
0xb858e8673793b6dbacb740e9f725f11e34eb8cea694f4551d5b89a1ab46669b0060d1f0190950e3780666704131c0498,Active
0xb2bd458728e46ecb10021ef54d68b8beb6b6d87dcab2e8ae9bef0f8b1f34d739c4eeb8a4bad0710c83f40fcc53c00663,Not active. Please check for a new committee set up
0x90fd01fcd6dd9eb11608796cf7e1ff344df2b56c95c22c13d2beeb64b8c8400e969a58cd31baac4b5f80215f9865ecfc,Not active. Please check for a new committee set up
0x99a30820e490347fc52b63bb5054ac63cb5488fc6ba3737868c891d431a48df4917ec0e7e24ca2ca73f7574e777a78ba,Not active. Please check for a new committee set up
0xa82805a66faa364eec0c63c7ea1d9cddc2a4756fda3d6856fa3497499917ffb86b520744a311cfd7cdc27185b2ccc0fa,Not active. Please check for a new committee set up
0x93b9c97e89063de339bcbe8224533604d91a849662e2d26a0532fc1403c8b11bf5a9eb06f9f717de54a22e30ec1a9958,Not active. Please check for a new committee set up
0x8d424890ed69ac26f3e8ffa10411636676a845610ad6315add123eeb59fa464daaeb5753d0b3c578470719b4319b6d66,Active
0x8b9f0fc2a18d1422b00cb81805b06ad87b236745e3cd9fe615830ea7e0064055a2683e1bedd059815467b579d32e6dc9,Not active. VA is slashed
0xa1781eae309e1b4f05c8867d622898db3d707222ea6f961b6fe70cb1b50f23c1698debf43ff038ffb712a62978a0c59c,Not active. Please check for a new committee set up
0x934719393d692d132dd9b4158152200d4a0ee9837f56dc2aecc2737fada9c00750202a799dfa731b50c14b76f8263f11,Active
0xaa0d5984edfc0a5e9f93f0b34c24cc2bb1df2138b85668cca12daf3a9bac4f399235e21d5a5ae4391d7256ff8d7bb830,Not active. VA is slashed
