validator,va_status
0xb590ef5398503d0804b9f30bd004df7dfa3a7597bb697e9373a3e30e413500c858e652a80ad01a23dd24c2d509b1a3df,Active
0x857972dc06a15aee2b2f0ed959bd775a7ca3520afadf27415da5e3ac9665031937bb2e5f6548c3318b0ccb80a595edc3,Active
0x8ec9bb9afd27ae0edefd8a5e8bdedf84efd4268e7f29b152f7b7f8761985e22a698145d8a28f9f436bc316206d5d26d8,Active
0x8b107fd08da5140c2fd3b138f88f3e30291bcb7801a0ba0dd156ec9e7df9493fdcc67ec86bf7d6fb617620cc04075f40,Active
0x804824bac4dfed3007ca6dde46afd50c0e3b99c5f97393eb913cdc86c7d07b1f4619cd6719c82aa03fa0d45465a3bb8b,Active
0x85d7a7826d7be32a81000ca90931fd2a21d77556118071fc36a96e6ab51ecbd82c9fcd232b3778cd046859a2f3d4b0f2,Active
0x832f6b437c0fadba5b127a16894ff32cd4440df791abfe211ca64e69af3c704397a92be3f9b9e3d65259f3584c0da72f,Active
0xaf75508be17835c8fb13db47a254418045b7249f6fe67c05852b5548af3d9b36f758f6f986acde09c5ecfce64bb9a907,Active
0x997a15cae99e6a6215271a2f3e78290661cd8d732d0afba957419f5550adb8daeb35e462a5a62634e03ac62689c43644,Active
0xa4fd56a6eb9962e348c29b825fa12d2bb0cd6350e968daca7b56245c63d0a69ed77a0c6e3b064f08639660ed348648ec,Active
0xb3cb8def168351ed535f8dfe4449bbe231c0fcf82b50c7707b589f85844dc9938180d4a3ace00217f80e2ae3357c1fea,Active
0xa02b60e571e278fa3752b3547b02fdfa70d9a53b30af21a2dd830ffe949a4538a254892903f83c6a07ada863b5a88dfe,Active
0x882ba69d8ea535ea89a6a0e3dc8de6c8abe86ccfde57a24e47ba02a48a456500d5fa1489d691bf93cfeefc2f8f187db0,Active
0x873f1c131e952fc72f4449ed9c9c3f5e117f49e6a4397b61855ba0a74c1437400bccc59492989669d5b963fdae50a6e5,Active
0x999eaa9d2223369384eba0567b31417e3b88a2198f828098b5856ad2fc69c8c35a12d8235f2659df002df4f1749c810b,Active
0xa64ba73e66d75387c09f006dbb729c90f5f39f3e1f827357e8f5d0186ea392a6fa4f4af3046cb9eebe6cc7dbdd745391,Active
0xac798522a52e9b17ae3f18f919636d742c8c26f8a99f32d29011c7728234926aa94d4dc33c4cf269514ec9cd3eed1478,Active
0x928f7fbe082a925e378cebe8563bce03a9ec9efaddd79b69f2dd86622f29e70da0acddddecf8963892a380ac6bc75098,Active
0xadb8492ec152b3debfb6e95f00b17b3054794bd3314b35ca091a270799206a4393c36ed94ab02227bf6fe435d20ade2f,Active
0x87565b235bc2585294ecbf9f0107b785dbd9e1892bc2411e811b746c13601bbc76c88d5717798748f480394241fffa36,Active
0x9263d0c3f40a9cde0bdba5a481b8824432179a70addcd8258d4d6f951c1ab787eb72cc6b699a40f8255a8f692c96063c,Active
0xa69817b94caa0b836b647710470ea4d231f86653b0faa5c667eb85330664f7481eea12c2818447d744f774792a2a65bd,Active
0x89ec79d5e27d6989c6fae8c509c295845f68ee6226ab9f2f8861e3b2764b370e26ff10b154267a6e903b27d397c417f2,Active
0xb19863e0dff6e94fe570300f9295caa1d44a6ff1e6fb4d4ea602da2b9a1e623a9214e1c64ab2aff59e8c53ced53408bb,Active
0x944b5fb21477cf12d91e286adbad7557941c35d3a9d6868593df487e579aa292afc6685115972044c5de78b64e2a1e2b,Active
0x923a78217861b825b2585ba51c0fe00da1165d40589f4f251d3bd6bdb45ee575db06aa5e9e80122b598a9d6dd47e6863,Active
0x8bcf6ab737ebac0e07c938125b2ddc2f7c3b844946c0e3a2cdcd92098617691e674e3b1ee7174646af6ac09c4bd58895,Active
0x882863393c40c53bc14b94d62a6deb93ca81c510e08cf36ce85df3317992d2d0b63532fcc51432f6cfd71ceb4527a68a,Active
0xaaa53832f4ed801c5c7dd7b5a10011e5243c22661f5e4c00865d45efaca93add140e7663afb66102ebebbea48064590d,Active
0x8ebbfaec04f59bd952cd51ce6a808d592fc8a2be16f8077c9bdc227cdf300bc128d5913c92c803d35d0593fb8940768b,Active
0xb406914f2360842d07c12e1a0ba596cea1722012c692516ef5c2a57b899fbe717b5aa367fa33da43eecd1bbb74cb00fe,Active
0x96f0842a44efb6b7ba7e41d7c6c875238dc9bdee334aa367fed1939a6059578a9172131721f2d0e34b4053c3f01d8f13,Active
0xb738da999e1b801a4baac90f199b198f46e88d8062d5413a32261e7e2316200bc2f1ee5ec4c83eba33cf156f97fd0bc1,Active
0x8cf1e766e9cd549d1e6b41a443ac1cacd248f817334636c5def71c5ea9c6940cf661d2df8706d98cd03c3ce3797e3c48,Active
0xb3e102d72486f6b135b0ea0589449512020b6281ceb36fdf847aa8285de0739d9085d85b4992d899fb7684d461474fa7,Active
0x854c15cf08b864b8c46a434515b6ec3e572a6747b738539627845b1f49acc9eb43decbe9771afe7bcf9bc2d195868b71,Active
0x892aa10d41a2c88114a17ace7c7d587618564fad4e1c0afe1e3142acdb4dd357ce1b275287d42ed3ff657661a18b553b,Active
0x905a2dbe55e643086ced89730b18939df809ed2ab542c983835ec339da70b6f6744360c2bcd3a28142ccdfb5e826b842,Active
0xb0ceb123272d68cf1a9bc65018ac5116c4c85119343fb853b112541225d93bc74abe0531f441afa4f78c7714874cf997,Active
0xb1c8d326fb2842d17e75a386153a7181882bfb7f43bb087b223e1909f72e1579ee8b7b30337b262aa3d98d4bbc53abd1,Active
0x838358ddd1816915519981b9515eabaa30702364117d226ef4bdfd14748297de51deba54b6005090f52f4f35a9f7a8e9,Active
0xaebdadee6bb56784802c5f9cc586e2c73bc84b3ea1aa59d90a59860a682f5e67de3c6f429676152c7651b06ade19eb3b,Active
0x9818ff7716da99934cc98878418cc6ae871870efa20d63be38dc2b7ecbe7365178f3ff1b42feab02a282d9f43aae7cd5,Active
0x8594c3f661f02a8291c6ba8826149bc8da12ac89bfb14d9a921ffa578c619d8a58c086ff4ebb269203bd3a108159b5c7,Active
0xa0e65d1e187e795e4ee53ec5d4ca4d4306a4e32bdaa8fc24921943069407b44202e181da6becbc88b9e1c7e138790698,Active
0xac1e959c705d0487d746407e350c98f479b325b53dbeddc00b8b7767090772f11c95ce2fa56e9ef391e63e25082d6f34,Active
0x9712219ffceec329f00660809074283b754dc9cf3a369327c382c8937828da146b1dc992afb5438706b8a80fa47a5f2c,Active
0x86cea84711853c288e08e96c3440bd0b1775401f801c2a16a62793c1c09ac4ac2d495c578fe9697b9559b4ffeddfc1b3,Active
0x834bc55cec945106d170f6ade21421f73a4afa0ca62f5cae4a4035b42470a5e4b18245513020e9575a599dc0bfc9d133,Active
