operator,operator_status
guraa,Not Active. Your OP not working to archive consensus for 1 Validators. 1 out of 5 of your validators are active
hidayatgp1,Active. 1 out of 1 of your validators are active.
kjnodes,Active. 6 out of 9 of your validators are active.
konsortech,Not Active. 0 out of 3 of your validators are active.
landeros,Active. Your OP not working to archive consensus for 1 Validators. 2 out of 2 of your validators are active
missyou,Not Active. 0 out of 2 of your validators are active.
openbitlab,Not Active. 0 out of 1 of your validators are active.
pinrock,Not Active. 0 out of 6 of your validators are active.
pinrockets,Not Active. 0 out of 3 of your validators are active.
soulles,Not Active. 0 out of 2 of your validators are active.
uraartillei,Not Active. 0 out of 2 of your validators are active.
yukii,Not Active. 0 out of 4 of your validators are active.
eclipse,Not Active. Your OP have 0 Validators. You need to have at least 1 active Validator.
bernode,Not Active. Your OP have 0 Validators. You need to have at least 1 active Validator.
Collatorsio,Not Active. Your OP have 0 Validators. You need to have at least 1 active Validator.
SafeStakeDemo,Not Active. Your OP have 0 Validators. You need to have at least 1 active Validator.
TengoNode,Not Active. Your OP have 0 Validators. You need to have at least 1 active Validator.
100500,Not Active. Your OP have 0 Validators. You need to have at least 1 active Validator.
Fajar,Not Active. Your OP have 0 Validators. You need to have at least 1 active Validator.
SIPALINGTESTNET,Not Active. Your OP have 0 Validators. You need to have at least 1 active Validator.
BalNodex2,Not Active. Your OP have 0 Validators. You need to have at least 1 active Validator.
igoyu,Not Active. Your OP have 0 Validators. You need to have at least 1 active Validator.
AlwaysBeDream,Not Active. Your OP have 0 Validators. You need to have at least 1 active Validator.
Forbole,Not Active. Your OP have 0 Validators. You need to have at least 1 active Validator.
BitBank,Not Active. Your OP have 0 Validators. You need to have at least 1 active Validator.
StakeTake,Not Active. Your OP have 0 Validators. You need to have at least 1 active Validator.
Ikuto,Not Active. Your OP have 0 Validators. You need to have at least 1 active Validator.
StanKurkula,Not Active. Your OP have 0 Validators. You need to have at least 1 active Validator.
lionsk,Not Active. Your OP have 0 Validators. You need to have at least 1 active Validator.
PopGore,Not Active. Your OP have 0 Validators. You need to have at least 1 active Validator.
Blockonaut,Not Active. Your OP have 0 Validators. You need to have at least 1 active Validator.
lux8net,Not Active. Your OP have 0 Validators. You need to have at least 1 active Validator.
cryptech,Not Active. Your OP have 0 Validators. You need to have at least 1 active Validator.
alsaba,Not Active. Your OP have 0 Validators. You need to have at least 1 active Validator.
rendydev,Not Active. Your OP have 0 Validators. You need to have at least 1 active Validator.
Axl,Not Active. Your OP have 0 Validators. You need to have at least 1 active Validator.
CsQrl,Not Active. Your OP have 0 Validators. You need to have at least 1 active Validator.
doxe,Not Active. Your OP have 0 Validators. You need to have at least 1 active Validator.
arya,Not Active. Your OP have 0 Validators. You need to have at least 1 active Validator.
Dwentzart,Not Active. Your OP have 0 Validators. You need to have at least 1 active Validator.
ksalabsafestake,Not Active. Your OP have 0 Validators. You need to have at least 1 active Validator.
khim,Not Active. Your OP have 0 Validators. You need to have at least 1 active Validator.
predator,Not Active. Your OP have 0 Validators. You need to have at least 1 active Validator.
ou812,Not Active. Your OP have 0 Validators. You need to have at least 1 active Validator.
QualiP,Not Active. Your OP have 0 Validators. You need to have at least 1 active Validator.
