operator,operator_status
4Four,Not Active. 0 out of 1 of your validators are active.
5ElementsNodes,Active. Your OP not working to archive consensus for 1 Validators. 3 out of 4 of your validators are active
AlxVoy,Not Active. 0 out of 2 of your validators are active.
Andra,Not Active. 0 out of 2 of your validators are active.
ArksDi,Not Active. 0 out of 4 of your validators are active.
AxeKate,Not Active. 0 out of 2 of your validators are active.
BalNodex,Active. 6 out of 7 of your validators are active.
Bamboleo,Not Active. 0 out of 1 of your validators are active.
BulanSabit,Not Active. 0 out of 3 of your validators are active.
Bumblebeeshka,Not Active. 0 out of 2 of your validators are active.
Conquer,Not Active. 0 out of 2 of your validators are active.
CryptologSpace,Not Active. 0 out of 6 of your validators are active.
Demigohu,Not Active. Your OP not working to archive consensus for 1 Validators. 1 out of 1 of your validators are active
DiBugNodes,Not Active. 0 out of 1 of your validators are active.
Dimar,Not Active. 0 out of 1 of your validators are active.
ElectrroNode,Active. 7 out of 11 of your validators are active.
Gasnode,Active. 1 out of 1 of your validators are active.
InfStones,Active. 11 out of 14 of your validators are active.
InfinitiSafeStake,Not Active. Your OP not working to archive consensus for 1 Validators. 1 out of 1 of your validators are active
JahaND,Active. 3 out of 5 of your validators are active.
JambulMerah01,Not Active. Your OP not working to archive consensus for 24 Validators. 24 out of 26 of your validators are active
JambulMerah02,Active. 26 out of 30 of your validators are active.
JambulMerah03,Active. 26 out of 30 of your validators are active.
JambulMerah04,Active. 16 out of 17 of your validators are active.
Kioko,Not Active. 0 out of 1 of your validators are active.
LokiFin,Not Active. 0 out of 2 of your validators are active.
Luka,Not Active. 0 out of 10 of your validators are active.
MDNodes,Not Active. 0 out of 10 of your validators are active.
Nonsens,Not Active. 0 out of 2 of your validators are active.
OneYummii,Active. Your OP not working to archive consensus for 2 Validators. 20 out of 26 of your validators are active
Ov1k,Not Active. 0 out of 2 of your validators are active.
ParaStateDAO1,Active. Your OP not working to archive consensus for 2 Validators. 112 out of 188 of your validators are active
ParaStateDAO2,Active. Your OP not working to archive consensus for 1 Validators. 122 out of 193 of your validators are active
ParaStateDAO3,Active. Your OP not working to archive consensus for 2 Validators. 123 out of 193 of your validators are active
ParaStateDAO4,Active. Your OP not working to archive consensus for 1 Validators. 121 out of 195 of your validators are active
PinkyWood,Not Active. 0 out of 2 of your validators are active.
Polkirerara,Active. 4 out of 6 of your validators are active.
QuasiMode,Not Active. 0 out of 1 of your validators are active.
REVO,Not Active. Your OP not working to archive consensus for 2 Validators. 2 out of 2 of your validators are active
Rado,Not Active. 0 out of 3 of your validators are active.
RealStake,Active. 2 out of 2 of your validators are active.
RenderSoft,Not Active. Your OP not working to archive consensus for 2 Validators. 3 out of 3 of your validators are active
RepublikID,Not Active. Your OP not working to archive consensus for 1 Validators. 1 out of 1 of your validators are active
Resty,Active. 1 out of 1 of your validators are active.
SANJI,Not Active. 0 out of 4 of your validators are active.
STAKECRAFT,Active. 1 out of 1 of your validators are active.
SaraBarbora12,Active. Your OP not working to archive consensus for 2 Validators. 6 out of 7 of your validators are active
SerGo,Not Active. 0 out of 1 of your validators are active.
Sirius,Not Active. 0 out of 1 of your validators are active.
Stakely,Not Active. Your OP not working to archive consensus for 2 Validators. 6 out of 12 of your validators are active
TroxKor,Not Active. 0 out of 2 of your validators are active.
UnderSonOp,Active. 1 out of 1 of your validators are active.
Validatrium,Not Active. 0 out of 1 of your validators are active.
Wookie,Not Active. 0 out of 1 of your validators are active.
adanode,Not Active. 0 out of 1 of your validators are active.
agosabe,Not Active. 0 out of 1 of your validators are active.
alfonova,Active. 1 out of 1 of your validators are active.
cryptobtcbuyer,Not Active. 0 out of 1 of your validators are active.
cyberG,Not Active. 0 out of 1 of your validators are active.
genesisarc,Not Active. 0 out of 2 of your validators are active.
geonodes,Active. 2 out of 3 of your validators are active.
