operator,operator_status
BalNodex,Active. 2 out of 2 of your validators are active.
Bamboleo,Active. 8 out of 8 of your validators are active.
BlackRock,Active. 1 out of 1 of your validators are active.
ChiccoNode,Active. 8 out of 8 of your validators are active.
EightNode,Active. 3 out of 3 of your validators are active.
FiveNode,Active. 3 out of 3 of your validators are active.
Fournode,Active. 1 out of 1 of your validators are active.
Gasnode,Active. 8 out of 8 of your validators are active.
GreatWheel,Active. 4 out of 4 of your validators are active.
Ikuto,Active. 1 out of 1 of your validators are active.
InfStones,Active. 1 out of 1 of your validators are active.
MondeDVT,Active. 4 out of 4 of your validators are active.
Nano,Active. 1 out of 1 of your validators are active.
NineNode,Active. 2 out of 2 of your validators are active.
Onenode,Active. 2 out of 2 of your validators are active.
QuasiMode,Active. 4 out of 4 of your validators are active.
SafeStakeOP1,Active. 128 out of 129 of your validators are active.
SafeStakeOP2,Active. 129 out of 130 of your validators are active.
SafeStakeOP3,Active. 129 out of 130 of your validators are active.
SafeStakeOP4,Active. 127 out of 128 of your validators are active.
SevenNode,Active. 3 out of 3 of your validators are active.
SixNode,Active. 3 out of 3 of your validators are active.
SpaceHunter,Active. 4 out of 4 of your validators are active.
Sundae,Active. 1 out of 1 of your validators are active.
TenNode,Active. 2 out of 2 of your validators are active.
Test2Run,Active. 1 out of 1 of your validators are active.
Threenode,Active. 1 out of 1 of your validators are active.
Twonode,Active. 2 out of 2 of your validators are active.
UnderSonOp,Active. 8 out of 8 of your validators are active.
ZekaNode,Active. 1 out of 1 of your validators are active.
