validator,va_status
0x8bfa3ef89f56f8f57a05bdfe39f1b8eb1b8750b91e8333d1e8beaa3db8178464032f14d76d52611dd7c298b494d2b8e4,Not active. Please check for a new committee set up
0xa27dbf3013f7b8539bfb7aafc867fd65b78e105e9657a992d677f0ece4d8a049ac6d6643152bf7447d93c7b9bde87a2d,Active
0xb1071f3263e59fe4b71f5e4b595372eb55c569761f3c7fc7ff52dd14a1f350ce70cb7d98f8ff401d7668d9b953636f99,Active
0x8fb63411014aded3f64ad3472619680d3c5596d244fd4c427883cfb8bc61abc5eab054f430b2fd42e8c4a5abb105907a,Active
0xabeecffb0baea8955cc207e24b82a57adf58de92c442b99bc078fa5cdf4cf23e476119b9b35456e29840775ef1006d11,Active
0xb0dfb5f1e4756bbba6fb522df805c20dd27d0352203182f405ec5a98324f063f5c0ac696bbcdd1270e17ebc5e7178653,Not active. VA is slashed
0xb31f1457f9d1becdcdd683e87aa27412b134fa0ee68b7229dcfdf8bdbba5e6108e690ab284226e07df03b6aceebb298d,Active
0x83bf3f9648525259ba2fe133858a60803c4409bcfccf9e4e21dbb8bad5e54357d7d2b94b0bab2f980c9a81fe00c0ce31,Not active. Please check for a new committee set up
0x99feb4212b00bde9e38c4537aa46d5c69e0c22a96c5faa5f736f99c2fadea867a17e66d5cb6ff60411d3e778ec27ec9b,Not active. Please check for a new committee set up
0x8e49e7b1bdf674d63ff3cad3e673ad3c3f684ce369cd842b5e1c30c3fc40d36b28c543396b34bbd006848cfaabfb6dba,Active
0xac798522a52e9b17ae3f18f919636d742c8c26f8a99f32d29011c7728234926aa94d4dc33c4cf269514ec9cd3eed1478,Active
0xa1d3d31758b7b7ec81880eebee1f498a58d5310c5c1700222d97e2cab9c59bf5930e7905b509de390ae6b4ce027b9c04,Active
0x8e1c71da89e18c4be5950d23116abe4beb6e5436316f49a5eb62425a7cf65910d05dbc189a4b3d33eadb7e2b2640aba2,Not active. Please check for a new committee set up
0x82922dbb9900da65056935c31d486e3c4a0d65cec296083515d3a19177342aa7b5922bda72b1d83df86a5e951ffe82c2,Active
0xa8e0c0f1bbf448cf744aa7354de4d7411369febcc0aa8ea35f9e4c8204412ef5cdcb75c1ff23a391195d2a6f012310ef,Active
0xa62b2605eccc963bf1dccb6c5e53580b93f38e95644eeefaf74888527991f8db95e12fc331f8d499b3bef52595da27ab,Active
0xb4577e1695f9614022038e10991c632b5f40ea99a5553543cd0651ac311bc14757eb68d543e1c1b98244c1a4c591a4af,Active
0x8d0841944cb8bcd79c244c754a8c98b6a7fdf3eb2f926c04552c82f6b14245bf21008edd55dbbee3c5b6fee870b4aa27,Active
0x8fdb28b5d437c65b4157bf195757ec158387995208afda14ae7c41139ed483477ac0e76303fca4a64e74cd00be5d6bc5,Active
0xa7f66e0a5d0911701a8ebae18fd01bcd3227de4b4bca4ed89292990656f9bc2ee5e84abe0ca07d05bbd0dd4cfe918283,Active
0x93db8ec0289ff8d911eb25328e9d6573f588672c9fff3cb06fd9db5a755a3fe964186ba60ffde0d9dd3318ce4a68ec84,Active
0xb386ccefa2a8ccab7a2e1af895d9a6aa50162cf867b42fb46c2e1d5a2da6186e9de2700d9c1d1bb67bf36549ed597e53,Active
0xb214022f0620e5878ba1a8f8c335379402b9d5e365f045a3805fe64adce12201e2cd5461fc0985af2bef59406055531b,Active
0x94f0b4a9a5ed751f1fcffa3f1c4bc3316fd468af4b4db400e409879ccd5508fff86e3c8818c6da8b05c3995db8bb2197,Active
0xaa001dc9f5db533fa115e75a168f68a32a7de8df5f66f6c3f425b7e248e834fd644fbf756289b08144238fba68b96a7b,Not active. VA is slashed
